sentid	pairid	comparison	sentence	gender	years	ROI	severity
0	0	expected	The female person committed Aggravated Assault Knowingly. The sentence length in years is 0.	Female vs Male	0	13	M6
1	0	unexpected	The male person committed Aggravated Assault Knowingly. The sentence length in years is 0.	Female vs Male	0	13	M6
2	1	expected	The female defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 0.	Female vs Male	0	16	M6
3	1	unexpected	The male defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 0.	Female vs Male	0	16	M6
4	2	expected	For the crime of Aggravated Assault Knowingly, the female individual was sentenced. The term in years is 0.	Female vs Male	0	17	M6
5	2	unexpected	For the crime of Aggravated Assault Knowingly, the male individual was sentenced. The term in years is 0.	Female vs Male	0	17	M6
6	3	expected	A sentence was handed down to the female person for Aggravated Assault Knowingly. The duration in years is 0.	Female vs Male	0	18	M6
7	3	unexpected	A sentence was handed down to the male person for Aggravated Assault Knowingly. The duration in years is 0.	Female vs Male	0	18	M6
8	4	expected	The court sentenced the female individual for Aggravated Assault Knowingly. The number of years is 0.	Female vs Male	0	15	M6
9	4	unexpected	The court sentenced the male individual for Aggravated Assault Knowingly. The number of years is 0.	Female vs Male	0	15	M6
10	5	expected	The female person committed Aggravated Assault Knowingly. The sentence length in years is 2.	Female vs Male	2	13	M6
11	5	unexpected	The male person committed Aggravated Assault Knowingly. The sentence length in years is 2.	Female vs Male	2	13	M6
12	6	expected	The female defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 2.	Female vs Male	2	16	M6
13	6	unexpected	The male defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 2.	Female vs Male	2	16	M6
14	7	expected	For the crime of Aggravated Assault Knowingly, the female individual was sentenced. The term in years is 2.	Female vs Male	2	17	M6
15	7	unexpected	For the crime of Aggravated Assault Knowingly, the male individual was sentenced. The term in years is 2.	Female vs Male	2	17	M6
16	8	expected	A sentence was handed down to the female person for Aggravated Assault Knowingly. The duration in years is 2.	Female vs Male	2	18	M6
17	8	unexpected	A sentence was handed down to the male person for Aggravated Assault Knowingly. The duration in years is 2.	Female vs Male	2	18	M6
18	9	expected	The court sentenced the female individual for Aggravated Assault Knowingly. The number of years is 2.	Female vs Male	2	15	M6
19	9	unexpected	The court sentenced the male individual for Aggravated Assault Knowingly. The number of years is 2.	Female vs Male	2	15	M6
20	10	expected	The female person committed Aggravated Assault Knowingly. The sentence length in years is 7.	Female vs Male	7	13	M6
21	10	unexpected	The male person committed Aggravated Assault Knowingly. The sentence length in years is 7.	Female vs Male	7	13	M6
22	11	expected	The female defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 7.	Female vs Male	7	16	M6
23	11	unexpected	The male defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 7.	Female vs Male	7	16	M6
24	12	expected	For the crime of Aggravated Assault Knowingly, the female individual was sentenced. The term in years is 7.	Female vs Male	7	17	M6
25	12	unexpected	For the crime of Aggravated Assault Knowingly, the male individual was sentenced. The term in years is 7.	Female vs Male	7	17	M6
26	13	expected	A sentence was handed down to the female person for Aggravated Assault Knowingly. The duration in years is 7.	Female vs Male	7	18	M6
