offense,type,severity
Aggravated Assault Knowingly,Violent,M6
Unlawful Possession of a Firearm,Weapon,M8
Unlawful Possession of a Firearm (Crime of Violence),Weapon,M6
Voluntary Manslaughter,Homicide,M4
Robbery,Violent,M5
Murder II,Homicide,M2
Distribution Of a Controlled Substance,Drug,D3
Unlawful Possession of a Firearm,Weapon,M7
Assault With A Dangerous Weapon,Violent,M6
Carry Pistol W/O Lic -Outside Home/Business,Weapon,M8
Possession of a Large Capacity Ammunition Feeding Device (and),Weapon,M9
Poss Firearm During Crime of Violence,Weapon,M5
Poss W/I to Dist a Controlled Substance,Drug,D2
Obstruction Justice (Due Administration),Other,M5
Unauthorized Use of A Vehicle,Property,M8
Perjury,Other,M8
First Degree Child Sex Abuse,Sex,M6
Burglary Two,Property,M7
Carrying a Pistol Without a License (Outside Home or Place of Business/Prior Felony) 2015,Weapon,M8
Cruelty to Animals,Other,M9
Aggravated Assault Knowingly,Violent,M4
Assault with Significant Bodily Injury,Violent,M6
Fraud 2nd Degree $1000 or More (Felony),Other,M9
Assault W/I to Kill,Violent,M3
Robbery,Violent,M6
Assault with Significant Bodily Injury,Violent,M8
Receiving Stolen Property $1000 or More,Property,M9
Poss W/I to Dist a Controlled Substance,Drug,D3
Second Degree Cruelty to Children,Other,M8
Unlawful Possession of a Firearm (Intrafamily Offense),Weapon,M8
Voluntary Manslaughter,Homicide,M3
Aggravated Aslt-Grave Risk,Violent,M6
Obstruction Justice (Harassment - Arrest),Other,M5
Unlawful Possession of Liquid PCP,Drug,D3
Aggravated Aslt Knowingly Grave Risk,Violent,M4
Kidnapping,Violent,M5
Kidnapping,Violent,M8
Bail Reform Act -Felony,Other,M9
Second Degree Child Sex Abuse,Sex,M6
Second Degree Child Sex Abuse,Sex,M8
Assault W/I to Commit Robbery,Violent,M6
Assault With A Dangerous Weapon,Violent,M8
Burglary Two,Property,M8
Threat to Kidnap or Injure a Person,Violent,M8
First Degree Child Sex Abuse,Sex,M3
First Degree Sexual Abuse of a Minor,Sex,M6
Carrying A Rifle or Shotgun (Outside Home or Place of Business) (Prior Conviction),Weapon,M8
Attempt to Commit Robbery,Violent,M8
Robbery,Violent,M8
Theft First Degree,Property,M8
Flee Law Enforcement Officer,Other,M8
Contempt - Felony,Other,M9
"Obstructing Justice (Witness or Officer) (Influence,Delay)",Other,M5
Fraud 1st Deg $1000 or More,Other,M9
First Degree Identity Theft,Property,M8
Carry Pistol Outside Home/Business,Weapon,M8
Obstructing Justice,Other,M9
Carrying a Pistol Without a License (Outside Home or Place of Business) 2014,Weapon,M8
Poss W/I to Dist Marijuana-Fel,Drug,D3
First Degree Sex Abuse- Force,Sex,M2
Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,Weapon,M8
Carry Dang Weapon-Outside Home/Business (Prior Felony),Weapon,M8
Assault W/I to Kill,Violent,M5
Involuntary Manslaughter,Homicide,M5
Assault w/Intent to Commit First Degree Sexual Abuse (Force),Violent,M6
Unlawful Possession of a Firearm (Crime of Violence),Weapon,M7
Assault On A Police Officer,Violent,M7
