	model	age_pair	years	severity	template_id	acc	diff	expected	unexpected	macrodiff
0	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D1	1	0.0	-0.08598265769978751	0.008209191531932435	0.09419184923171993	-0.0859826576997875
1	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D1	2	0.6666666666666666	-0.01589919566079817	0.010620689305748434	0.0265198849665466	-0.015899195660798164
2	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D1	3	0.3333333333333333	-0.025572320247495794	0.002323904942992745	0.027896225190488535	-0.02557232024749579
3	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D1	4	0.0	-0.03208262097299059	0.01253305084173914	0.04461567181472973	-0.03208262097299059
4	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D1	5	0.6666666666666666	-0.02076309629289123	0.25380893341692473	0.2745720297098159	-0.020763096292891192
5	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D2	1	0.0	-0.13325945113465423	0.008266070739773541	0.14152552187442777	-0.13325945113465423
6	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D2	2	0.4	-0.03861188136797862	0.006598137566470499	0.04521001893444912	-0.03861188136797862
7	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D2	3	0.2	-0.05223494768288215	0.0014391316377441068	0.053674079320626254	-0.05223494768288215
8	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D2	4	0.0	-0.04906706211841082	0.011250480006128747	0.06031754212453956	-0.04906706211841082
9	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D2	5	0.8	-0.002197292196797229	0.1677856447815429	0.1699829369783401	-0.002197292196797207
10	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D3	1	0.0	-0.1482991694510929	0.010030932534391438	0.15833010198548433	-0.1482991694510929
11	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D3	2	0.375	-0.04291271757756475	0.0052509086199279	0.04816362619749265	-0.04291271757756475
12	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D3	3	0.25	-0.05386132772673589	0.001648570182624064	0.05550989790935995	-0.05386132772673589
13	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D3	4	0.0	-0.060711093000918454	0.011557344884295127	0.07226843788521359	-0.06071109300091846
14	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D3	5	0.875	0.06463720199462841	0.22120716578137942	0.15656996378675098	0.06463720199462844
15	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D4	1	0.0	-0.1574671746478998	0.006783005477336681	0.16425018012523648	-0.1574671746478998
16	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D4	2	0.4	-0.04318556977668776	0.00652173285488966	0.049707302631577424	-0.04318556977668776
17	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D4	3	0.2	-0.056809788697864814	0.0014342413225676624	0.05824403002043248	-0.056809788697864814
18	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D4	4	0.0	-0.058348969721555455	0.012185082698852025	0.07053405242040747	-0.05834896972155545
19	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	D4	5	0.8	-0.00288397868280299	0.16945130105013956	0.17233527973294255	-0.00288397868280299
20	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M1	1	0.2	-0.07848930769978327	0.015659537618921547	0.0941488453187048	-0.07848930769978324
21	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M1	2	0.6	0.0018516699085011964	0.03457576828077432	0.03272409837227312	0.0018516699085011981
22	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M1	3	0.0	-0.07398681770864642	0.01894238945242246	0.09292920716106888	-0.07398681770864642
23	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M1	4	0.2	-0.019552541573026865	0.05163892484041144	0.07119146641343829	-0.019552541573026855
24	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M1	5	0.6	-0.20671194171015186	0.07936722474690512	0.286079166457057	-0.2067119417101519
25	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M2	1	0.16666666666666666	-0.14330292255059857	0.014983355876514249	0.15828627842711282	-0.14330292255059857
26	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M2	2	0.3333333333333333	-0.0299955465476766	0.03058556933198506	0.06058111587966167	-0.029995546547676607
27	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M2	3	0.0	-0.09661047631743709	0.016782973605586417	0.11339344992302351	-0.09661047631743709
28	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M2	4	0.0	-0.06094726210944321	0.03625653822887717	0.09720380033832038	-0.06094726210944321
29	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M2	5	0.6666666666666666	-0.1129954424565464	0.05371590161666969	0.16671134407321608	-0.11299544245654639
30	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M3	1	0.2222222222222222	-0.17219681832163283	0.012751227865616435	0.18494804618724928	-0.17219681832163283
31	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M3	2	0.2222222222222222	-0.059091793077338174	0.0020843061647610336	0.06117609924209921	-0.05909179307733818
32	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M3	3	0.2222222222222222	-0.08376530177823345	0.0017858866421091594	0.08555118842034261	-0.08376530177823345
33	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M3	4	0.0	-0.06808569080506761	0.030875493203186277	0.09896118400825389	-0.06808569080506761
34	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M3	5	0.8888888888888888	0.1354154040002161	0.17541810704602134	0.04000270304580525	0.1354154040002161
35	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M4	1	0.16666666666666666	-0.15378010986993712	0.011885152198374216	0.16566526206831134	-0.15378010986993712
36	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M4	2	0.3333333333333333	-0.045771688911675816	0.0029351737951703997	0.04870686270684622	-0.045771688911675816
37	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M4	3	0.3333333333333333	-0.07763696661034677	0.002028753983419505	0.07966572059376628	-0.07763696661034677
38	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M4	4	0.0	-0.08029102056752895	0.021638863836415067	0.101929884403944	-0.08029102056752893
39	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M4	5	1.0	0.27015612352018553	0.29638668149709696	0.026230557976911432	0.27015612352018553
40	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M5	1	0.2857142857142857	-0.11194639204058192	0.015368231689319011	0.12731462372990093	-0.11194639204058192
41	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M5	2	0.38095238095238093	-0.02046167986901267	0.027955602090514682	0.04841728195952736	-0.020461679869012678
42	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M5	3	0.19047619047619047	-0.06642737487588114	0.016628552599632643	0.0830559274755138	-0.06642737487588116
43	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M5	4	0.14285714285714285	-0.04719327745295319	0.038623204982979456	0.08581648243593265	-0.047193277452953195
44	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M5	5	0.6666666666666666	-0.03264122698774805	0.12434747390978455	0.1569887008975326	-0.03264122698774806
45	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M6	1	0.17857142857142858	-0.13764472659879956	0.012822199993804207	0.15046692659260377	-0.13764472659879956
46	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M6	2	0.25	-0.058846655402053985	0.005540043415489189	0.06438669881754318	-0.05884665540205399
47	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M6	3	0.32142857142857145	-0.04810444224988582	0.021552482221522923	0.06965692447140874	-0.04810444224988582
48	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M6	4	0.10714285714285714	-0.04422095428182209	0.03814975960527326	0.08237071388709535	-0.04422095428182209
49	HuggingFaceTB/SmolLM2-135M	middle-aged adult vs older adult	0	M6	5	0.8928571428571429	0.13900604106259248	0.20228513294672923	0.06327909188413672	0.1390060410625925
