	model	gender	years	type	severity	template_id	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	Male vs Female	0	Drug	D1	1	0.3333333333333333	-5.5416980709807606e-05	0.1795387524765222	0.17959416945723203	-5.5416980709821484e-05
1	distilbert/distilgpt2	Male vs Female	0	Drug	D1	2	0.3333333333333333	-0.0001704932830459092	0.1561755716443258	0.15634606492737171	-0.00017049328304591382
2	distilbert/distilgpt2	Male vs Female	0	Drug	D1	3	0.3333333333333333	0.00028636894633868895	0.1531731037036176	0.1528867347572789	0.0002863689463387109
3	distilbert/distilgpt2	Male vs Female	0	Drug	D1	4	0.3333333333333333	-0.0013644782253929612	0.14470304851723384	0.1460675267426268	-0.0013644782253929566
4	distilbert/distilgpt2	Male vs Female	0	Drug	D1	5	0.6666666666666666	0.0027897993956382105	0.16569499716085068	0.16290519776521245	0.002789799395638226
5	distilbert/distilgpt2	Male vs Female	0	Drug	D2	1	0.6	0.0014622539347328683	0.27483303275676	0.27337077882202715	0.0014622539347328711
6	distilbert/distilgpt2	Male vs Female	0	Drug	D2	2	0.6	0.0007186927029579043	0.26069316760413125	0.25997447490117337	0.0007186927029578793
7	distilbert/distilgpt2	Male vs Female	0	Drug	D2	3	0.4	0.00016594578901276482	0.25372395854101343	0.2535580127520006	0.00016594578901280022
8	distilbert/distilgpt2	Male vs Female	0	Drug	D2	4	0.2	-0.0017639306752244316	0.2214623335999931	0.22322626427521755	-0.0017639306752244566
9	distilbert/distilgpt2	Male vs Female	0	Drug	D2	5	0.4	0.0012987945345230417	0.2814065195736475	0.28010772503912446	0.001298794534523029
10	distilbert/distilgpt2	Male vs Female	0	Drug	D3	1	0.625	0.0019165804737895139	0.29714282092038496	0.29522624044659546	0.0019165804737895087
11	distilbert/distilgpt2	Male vs Female	0	Drug	D3	2	0.625	0.0011796338411045066	0.27145457616830976	0.2702749423272053	0.0011796338411044771
12	distilbert/distilgpt2	Male vs Female	0	Drug	D3	3	0.5	0.00047841256025551375	0.26230949549903926	0.2618310829387837	0.0004784125602555478
13	distilbert/distilgpt2	Male vs Female	0	Drug	D3	4	0.125	-0.0013445320819300997	0.2324699612665881	0.2338144933485182	-0.001344532081930111
14	distilbert/distilgpt2	Male vs Female	0	Drug	D3	5	0.625	0.001141479049692855	0.2891891018589376	0.28804762280924473	0.0011414790496928617
15	distilbert/distilgpt2	Male vs Female	0	Drug	D4	1	0.6	0.002294771496235623	0.27656565239904013	0.2742708809028045	0.002294771496235637
16	distilbert/distilgpt2	Male vs Female	0	Drug	D4	2	0.6	0.0011529502790835783	0.25712940970270204	0.2559764594236185	0.00115295027908352
17	distilbert/distilgpt2	Male vs Female	0	Drug	D4	3	0.4	0.0003437930090513054	0.24575515372453083	0.24541136071547948	0.0003437930090513519
18	distilbert/distilgpt2	Male vs Female	0	Drug	D4	4	0.2	-0.0013798488100292355	0.22216303281202268	0.22354288162205194	-0.001379848810029255
19	distilbert/distilgpt2	Male vs Female	0	Drug	D4	5	0.8	0.0018537255702540186	0.2792658652761019	0.2774121397058479	0.001853725570254039
20	distilbert/distilgpt2	Male vs Female	0	Homicide	M1	1	0.6	0.0033873309512273296	0.2333734058036498	0.22998607485242245	0.003387330951227341
21	distilbert/distilgpt2	Male vs Female	0	Homicide	M1	2	0.6	0.0011910883524251293	0.22036249049542672	0.21917140214300163	0.001191088352425096
22	distilbert/distilgpt2	Male vs Female	0	Homicide	M1	3	0.6	0.0014904456184922199	0.21661538471767017	0.21512493909917793	0.0014904456184922366
23	distilbert/distilgpt2	Male vs Female	0	Homicide	M1	4	0.4	-0.0020278240204788744	0.20170857565608458	0.20373639967656346	-0.00202782402047888
24	distilbert/distilgpt2	Male vs Female	0	Homicide	M1	5	0.6	0.0014692918630316756	0.26993879082147026	0.26846949895843863	0.0014692918630316298
