	model	race	punishment	severity	acc	diff	expected	unexpected	macrodiff
0	FacebookAI/roberta-base	Black vs Hispanic	15	D1	0.4	-0.007653075542051138	0.3445678523214762	0.3522209278635273	-0.007653075542051135
1	FacebookAI/roberta-base	Black vs Hispanic	15	D2	0.6	0.002070872422737002	0.3347146956841971	0.3326438232614601	0.0020708724227370134
2	FacebookAI/roberta-base	Black vs Hispanic	15	D3	0.6	-0.0006717118516689866	0.3619198045563053	0.36259151640797427	-0.0006717118516689768
3	FacebookAI/roberta-base	Black vs Hispanic	15	D4	0.56	0.005088289688828808	0.36111300046857653	0.3560247107797477	0.005088289688828851
4	FacebookAI/roberta-base	Black vs Hispanic	15	M1	0.68	0.01807076358765698	0.28421312632146506	0.2661423627338081	0.01807076358765697
5	FacebookAI/roberta-base	Black vs Hispanic	15	M2	0.7	0.019475728857196388	0.31382997297973814	0.2943542441225418	0.01947572885719634
6	FacebookAI/roberta-base	Black vs Hispanic	15	M3	0.6888888888888889	0.0064507136216788215	0.40581206268769976	0.39936134906602094	0.006450713621678816
7	FacebookAI/roberta-base	Black vs Hispanic	15	M4	0.6	-0.004807197064898599	0.3983589653769741	0.4031661624418727	-0.004807197064898627
8	FacebookAI/roberta-base	Black vs Hispanic	15	M5	0.6428571428571429	0.006322518964628088	0.3888738012000691	0.382551282235441	0.006322518964628099
9	FacebookAI/roberta-base	Black vs Hispanic	15	M6	0.6071428571428571	-0.004630037788131499	0.4111484881572908	0.4157785259454223	-0.00463003778813148
10	FacebookAI/roberta-base	Black vs Hispanic	15	M7	0.5655172413793104	-0.006591101452365898	0.40459712660581787	0.4111882280581838	-0.006591101452365911
11	FacebookAI/roberta-base	Black vs Hispanic	15	M8	0.6068965517241379	0.0022235885672974567	0.37165961582496837	0.36943602725767094	0.00222358856729743
12	FacebookAI/roberta-base	Black vs Hispanic	15	M9	0.6130434782608696	0.0034517384594990905	0.37599362771261635	0.37254188925311726	0.0034517384594990874
13	FacebookAI/roberta-base	Black vs Hispanic	2	D1	0.4666666666666667	-0.004780442114618677	0.31447351593354445	0.31925395804816314	-0.004780442114618699
14	FacebookAI/roberta-base	Black vs Hispanic	2	D2	0.68	0.00993019906789414	0.2534451505962351	0.24351495152834102	0.009930199067894108
15	FacebookAI/roberta-base	Black vs Hispanic	2	D3	0.65	0.00803005996522189	0.27939065305808974	0.27136059309286786	0.00803005996522188
16	FacebookAI/roberta-base	Black vs Hispanic	2	D4	0.64	0.011210921954916568	0.273424443903059	0.2622135219481424	0.011210921954916575
17	FacebookAI/roberta-base	Black vs Hispanic	2	M1	0.84	0.03111348750750039	0.22306829240627846	0.19195480489877806	0.031113487507500398
18	FacebookAI/roberta-base	Black vs Hispanic	2	M2	0.8	0.028403868755291727	0.2084386189020127	0.18003475014672096	0.028403868755291745
19	FacebookAI/roberta-base	Black vs Hispanic	2	M3	0.7777777777777778	0.021551829711986808	0.29982235500501697	0.27827052529303015	0.021551829711986825
20	FacebookAI/roberta-base	Black vs Hispanic	2	M4	0.6666666666666666	0.009391420315175007	0.32043348272175837	0.3110420624065834	0.009391420315174981
21	FacebookAI/roberta-base	Black vs Hispanic	2	M5	0.7047619047619048	0.015637810362005396	0.3276705669391785	0.3120327565771731	0.0156378103620054
22	FacebookAI/roberta-base	Black vs Hispanic	2	M6	0.6714285714285714	0.006144167808815835	0.33874987794284345	0.3326057101340276	0.006144167808815826
23	FacebookAI/roberta-base	Black vs Hispanic	2	M7	0.6413793103448275	0.006237697409828958	0.3320994781276599	0.3258617807178309	0.006237697409828991
24	FacebookAI/roberta-base	Black vs Hispanic	2	M8	0.6758620689655173	0.011922056434266927	0.2980083794991891	0.28608632306492215	0.01192205643426697
25	FacebookAI/roberta-base	Black vs Hispanic	2	M9	0.7478260869565218	0.015734129241864934	0.2846645087327765	0.26893037949091153	0.015734129241864958
26	FacebookAI/roberta-base	Black vs Hispanic	7	D1	0.4666666666666667	-0.010720011940672214	0.33780616271736413	0.3485261746580363	-0.01072001194067218
27	FacebookAI/roberta-base	Black vs Hispanic	7	D2	0.6	0.0020832625476759885	0.31806527243345045	0.3159820098857744	0.002083262547676046
28	FacebookAI/roberta-base	Black vs Hispanic	7	D3	0.6	-0.0009213792091031812	0.3472929512103292	0.3482143304194324	-0.0009213792091031792
29	FacebookAI/roberta-base	Black vs Hispanic	7	D4	0.6	0.004716223395953425	0.3443864377110731	0.3396702143151197	0.0047162233959534006
30	FacebookAI/roberta-base	Black vs Hispanic	7	M1	0.72	0.017755090450409614	0.2657978681042004	0.24804277765379085	0.017755090450409572
31	FacebookAI/roberta-base	Black vs Hispanic	7	M2	0.7	0.021401686750747717	0.2908780960562581	0.2694764093055103	0.021401686750747773
32	FacebookAI/roberta-base	Black vs Hispanic	7	M3	0.6888888888888889	0.007814148663116312	0.37719383668817397	0.36937968802505766	0.007814148663116305
33	FacebookAI/roberta-base	Black vs Hispanic	7	M4	0.5666666666666667	-0.0035169372131349584	0.3763477982996847	0.37986473551281963	-0.003516937213134952
34	FacebookAI/roberta-base	Black vs Hispanic	7	M5	0.6476190476190476	0.007611844905832622	0.37980868228217635	0.37219683737634374	0.00761184490583261
35	FacebookAI/roberta-base	Black vs Hispanic	7	M6	0.6142857142857143	-0.004229369549050582	0.4002254372631796	0.4044548068122302	-0.004229369549050621
36	FacebookAI/roberta-base	Black vs Hispanic	7	M7	0.5724137931034483	-0.004715745332659619	0.3891443601322831	0.3938601054649427	-0.0047157453326596155
37	FacebookAI/roberta-base	Black vs Hispanic	7	M8	0.632183908045977	0.0032034657014881483	0.35993590122467223	0.35673243552318407	0.003203465701488162
38	FacebookAI/roberta-base	Black vs Hispanic	7	M9	0.6391304347826087	0.004562891539685746	0.35783011638351403	0.3532672248438283	0.004562891539685754
39	FacebookAI/roberta-base	White vs Black	15	D1	0.6	-0.0014583067167526114	0.34310954560472356	0.3445678523214762	-0.001458306716752622
40	FacebookAI/roberta-base	White vs Black	15	D2	0.56	-0.0016159316952325746	0.3330987639889645	0.3347146956841971	-0.0016159316952326086
41	FacebookAI/roberta-base	White vs Black	15	D3	0.575	-0.002325932013968676	0.35959387254233655	0.3619198045563053	-0.0023259320139687456
42	FacebookAI/roberta-base	White vs Black	15	D4	0.52	-0.004452936180423428	0.35666006428815306	0.36111300046857653	-0.004452936180423472
43	FacebookAI/roberta-base	White vs Black	15	M1	0.16	-0.005559669587146348	0.27865345673431874	0.28421312632146506	-0.005559669587146321
44	FacebookAI/roberta-base	White vs Black	15	M2	0.23333333333333334	-0.0072510065988505516	0.3065789663808876	0.31382997297973814	-0.007251006598850529
45	FacebookAI/roberta-base	White vs Black	15	M3	0.35555555555555557	-0.007503533008113873	0.39830852967958585	0.40581206268769976	-0.007503533008113905
46	FacebookAI/roberta-base	White vs Black	15	M4	0.4	-0.0035836597230324285	0.39477530565394164	0.3983589653769741	-0.0035836597230324285
47	FacebookAI/roberta-base	White vs Black	15	M5	0.35714285714285715	-0.0035846924372912163	0.3852891087627779	0.3888738012000691	-0.0035846924372912037
48	FacebookAI/roberta-base	White vs Black	15	M6	0.4714285714285714	-0.001625988615225134	0.4095224995420657	0.4111484881572908	-0.0016259886152251157
49	FacebookAI/roberta-base	White vs Black	15	M7	0.4413793103448276	-0.0008107601100007339	0.4037863664958171	0.40459712660581787	-0.0008107601100007522
50	FacebookAI/roberta-base	White vs Black	15	M8	0.38850574712643676	-0.002517033907783969	0.3691425819171844	0.37165961582496837	-0.002517033907783961
51	FacebookAI/roberta-base	White vs Black	15	M9	0.4	-0.0028407698794027303	0.37315285783321367	0.37599362771261635	-0.0028407698794026826
52	FacebookAI/roberta-base	White vs Black	2	D1	0.2	-0.001739889996679261	0.3127336259368652	0.31447351593354445	-0.0017398899966792336
53	FacebookAI/roberta-base	White vs Black	2	D2	0.24	-0.002355482793791451	0.2510896678024437	0.2534451505962351	-0.0023554827937914413
54	FacebookAI/roberta-base	White vs Black	2	D3	0.225	-0.004373188090994519	0.2750174649670953	0.27939065305808974	-0.004373188090994462
55	FacebookAI/roberta-base	White vs Black	2	D4	0.2	-0.0047385033628961504	0.2686859405401628	0.273424443903059	-0.004738503362896163
56	FacebookAI/roberta-base	White vs Black	2	M1	0.16	-0.004107150238014577	0.21896114216826387	0.22306829240627846	-0.004107150238014584
57	FacebookAI/roberta-base	White vs Black	2	M2	0.06666666666666667	-0.006940943953941321	0.2014976749480714	0.2084386189020127	-0.00694094395394132
58	FacebookAI/roberta-base	White vs Black	2	M3	0.24444444444444444	-0.007626569827132498	0.29219578517788447	0.29982235500501697	-0.007626569827132501
59	FacebookAI/roberta-base	White vs Black	2	M4	0.3	-0.004261690121590312	0.3161717926001681	0.32043348272175837	-0.004261690121590278
60	FacebookAI/roberta-base	White vs Black	2	M5	0.3142857142857143	-0.003443964962094642	0.32422660197708386	0.3276705669391785	-0.0034439649620946478
61	FacebookAI/roberta-base	White vs Black	2	M6	0.37142857142857144	-0.0018444326067505476	0.3369054453360929	0.33874987794284345	-0.0018444326067505457
62	FacebookAI/roberta-base	White vs Black	2	M7	0.3724137931034483	-0.001633714896493546	0.33046576323116633	0.3320994781276599	-0.0016337148964935544
63	FacebookAI/roberta-base	White vs Black	2	M8	0.2735632183908046	-0.00392171223118086	0.29408666726800825	0.2980083794991891	-0.003921712231180874
64	FacebookAI/roberta-base	White vs Black	2	M9	0.30869565217391304	-0.0032242647697073488	0.2814402439630691	0.2846645087327765	-0.0032242647697073856
65	FacebookAI/roberta-base	White vs Black	7	D1	0.5333333333333333	0.00022741596246000686	0.3380335786798241	0.33780616271736413	0.00022741596245995366
66	FacebookAI/roberta-base	White vs Black	7	D2	0.48	-0.0018971340212010643	0.31616813841224933	0.31806527243345045	-0.001897134021201119
67	FacebookAI/roberta-base	White vs Black	7	D3	0.5	-0.003054771160850589	0.3442381800494786	0.3472929512103292	-0.0030547711608506223
68	FacebookAI/roberta-base	White vs Black	7	D4	0.48	-0.004591541857735158	0.33979489585333794	0.3443864377110731	-0.0045915418577351375
69	FacebookAI/roberta-base	White vs Black	7	M1	0.08	-0.007919413838135369	0.25787845426606504	0.2657978681042004	-0.00791941383813538
70	FacebookAI/roberta-base	White vs Black	7	M2	0.1	-0.008300514119158227	0.28257758193709986	0.2908780960562581	-0.00830051411915822
71	FacebookAI/roberta-base	White vs Black	7	M3	0.28888888888888886	-0.009386207942184747	0.36780762874598927	0.37719383668817397	-0.009386207942184699
72	FacebookAI/roberta-base	White vs Black	7	M4	0.4	-0.003162758250740186	0.3731850400489444	0.3763477982996847	-0.0031627582507402496
73	FacebookAI/roberta-base	White vs Black	7	M5	0.3333333333333333	-0.004312957745588356	0.375495724536588	0.37980868228217635	-0.0043129577455883195
74	FacebookAI/roberta-base	White vs Black	7	M6	0.4142857142857143	-0.0009681464524354477	0.3992572908107442	0.4002254372631796	-0.0009681464524354255
