	model	race	years	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	Black vs Hispanic	0	0.5452830188679245	0.036320962810284255	0.10607089476801355	0.0697499319577293	0.036320962810284255
1	distilbert/distilgpt2	Black vs Hispanic	1	0.5415094339622641	0.03601348981323444	0.10387915022403435	0.0678656604107999	0.03601348981323445
2	distilbert/distilgpt2	Black vs Hispanic	10	0.5386792452830189	0.036678664192170814	0.1354045071218783	0.09872584292970744	0.03667866419217085
3	distilbert/distilgpt2	Black vs Hispanic	5	0.5443396226415095	0.03622554694547343	0.12412659739639856	0.08790105045092511	0.03622554694547345
4	distilbert/distilgpt2	White vs Black	0	0.5103773584905661	0.018038087651064176	0.12410898241907772	0.10607089476801355	0.01803808765106417
5	distilbert/distilgpt2	White vs Black	1	0.5066037735849057	0.017668649643886546	0.1215477998679209	0.10387915022403435	0.01766864964388655
6	distilbert/distilgpt2	White vs Black	10	0.49433962264150944	0.018509292099505265	0.15391379922138354	0.1354045071218783	0.018509292099505248
7	distilbert/distilgpt2	White vs Black	5	0.5	0.01697970853025567	0.1411063059266542	0.12412659739639856	0.016979708530255655
8	distilbert/distilgpt2	White vs Hispanic	0	0.5566037735849056	0.05435905046134843	0.12410898241907772	0.0697499319577293	0.054359050461348424
9	distilbert/distilgpt2	White vs Hispanic	1	0.5509433962264151	0.053682139457120984	0.1215477998679209	0.0678656604107999	0.053682139457121
10	distilbert/distilgpt2	White vs Hispanic	10	0.5349056603773585	0.05518795629167608	0.15391379922138354	0.09872584292970744	0.055187956291676096
11	distilbert/distilgpt2	White vs Hispanic	5	0.539622641509434	0.0532052554757291	0.1411063059266542	0.08790105045092511	0.0532052554757291
